limit=300000
number,weight,money
0,6244,3611
1,2962,6217
2,1456,7831
3,1726,1221
4,1004,6387
5,9290,3329
6,2120,9279
7,1190,7005
8,4804,3739
9,7426,2249
10,1824,2535
11,7998,1829
12,3180,2899
13,138,5745
14,6104,7599
15,3846,1229
16,3364,3867
17,1890,1049
18,2192,4471
19,4270,2437
20,5356,9411
21,8218,8161
22,88,5919
23,6502,5453
24,1924,6763
25,6354,7081
26,2560,9175
27,542,277
28,7532,5923
29,6298,577
30,6840,4239
31,6390,9677
32,7716,6891
33,818,3113
34,2928,1111
35,6814,885
36,2476,2435
37,7146,225
38,824,2559
39,9046,3901
40,6276,7019
41,5282,1913
42,3296,5815
43,3086,1493
44,4652,6179
45,5226,2641
46,7576,879
47,1702,893
48,4836,9915
49,9746,7945
50,3664,519
51,9358,2101
52,6828,2691
53,3306,5057
54,1560,9199
55,1590,5117
56,628,43
57,1442,6745
58,4032,2455
59,5630,9941
60,9004,9203
61,4154,7473
62,8312,7519
63,4246,9341
64,9188,171
65,5906,2777
66,4400,7159
67,1902,549
68,1180,5715
69,2234,9889
70,2296,5839
71,4134,3565
72,7748,299
73,370,1577
74,4768,9095
75,942,1157
76,6124,2227
77,314,2305
78,9048,4159
79,6790,7789
80,6308,3195
81,4834,7609
82,5136,3799
83,7214,8997
84,8300,5971
85,1162,4721
86,3032,2479
87,9446,2013
88,2100,3323
89,9298,3641
90,5504,5735
91,3486,9605
92,476,2483
93,9242,7137
94,9784,799
95,9334,9005
96,660,3451
97,3762,2441
98,5872,439
99,9758,213
